ShopID,Territory,City
2,WV,"Weirton, WV"
3,WV,"Beckley, WV"
4,WV,"Fairmont, WV"
5,PA,"Uniontown, PA"
6,WV,"Parkersburg, WV"
7,PA,"Belle Vernon, PA"
8,MD,"Lavale, MD"
9,WV,"Clarksburg, WV"
10,OH,"St. Clairsville, OH"
11,PA,"West Mifflen, PA"
12,OH,"Kent, OH"
13,WV,"Charleston, WV"
14,PA,"Harrisburg, PA"
15,PA,"York, PA"
16,VA,"Winchester, VA"
18,PA,"Washington, PA"
19,MD,"Abingdon, MD"
20,PA,"Greensburg, PA"
21,OH,"Zanesville, OH"
22,OH,"Wickliffe, OH"
23,PA,"Erie, PA"
24,OH,"North Canton, OH"
25,OH,"Mansfield, OH"
26,OH,"Akron, OH"
27,OH,"Boardman, OH"
28,WV,"Huntington, WV"
31,OH,"Mentor, OH"
32,OH,"Middleburg Heights, OH"
33,PA,"Altoona, PA"
34,PA,"Monroeville, PA"
35,OH,"Sharonville, OH"
36,OH,"Cincinnati, OH"
37,PA,"Pittsburgh, PA"
38,KY,"Lexington, KY"
39,WV,"Morgantown, WV"
40,OH,"Beavercreek, OH"
41,OH,"Cincinnati, OH"
501,MD,"Frederick, MD"
503,VA,"Fredericksburg, VA"
504,MD,"Gaithersburg, MD"
505,MD,"Laurel, MD"
506,VA,"Manassas, VA"
507,MD,"College Park, MD"
508,MD,"Pasadena, MD"
509,MD,"Annapolis, MD"
510,MD,"North Baltimore, MD"
511,MD,"Bowie, MD"
512,VA,"Roanoke, VA"
513,MD,"Waldorf, MD"
514,VA,"Glen Allen, VA"
515,VA,"Richmond, VA"
517,VA,"Lynchburg, VA"
518,VA,"Alexandria, VA"
519,VA,"Colonial Heights, VA"
520,NC,"Greensboro, NC"
522,NC,"Cary, NC"
523,VA,"Harrisonburg, VA"
524,VA,"Christiansburg, VA"
525,NC,"Raleigh, NC"
526,DE,"Newark, DE"
528,NC,"Durham, NC"
530,NC,"Asheville, NC"
531,NC,"Winston-Salem, NC"
533,NC,"Charlotte, NC"
534,NC,"Mooresville, NC"
535,NC,"Clemmons, NC"
536,NC,"Statesville, NC"
537,NC,"Fayetteville, NC"
538,NC,"Hickory, NC"
540,NC,"Wilmington, NC"
541,SC,"Florence, SC"
542,SC,"Greenville, SC"
543,SC,"Sumter, SC"
544,SC,"North Charleston, SC"
545,NC,"Greenville, NC"
546,DE,"Wilmington, DE"
547,MD,"Laurel, MD"
548,GA,"Athens, GA"
549,NC,"Charlotte, NC"
550,NC,"Kannapolis, NC"
551,SC,"Anderson, SC"
554,GA,"Augusta, GA"
555,GA,"Cartersville, GA"
556,TN,"Johnson City, TN"
557,GA,"Savannah, GA"
558,GA,"Newnan, GA"
560,GA,"Buford, GA"
563,GA,"Duluth, GA"
565,MD,"Pasadena, MD"
566,GA,"Ft. Oglethorpe, GA"
568,TN,"Knoxville, TN"
570,NC,"Wilson, NC"
571,TN,"Cookeville, TN"
572,NC,"Jacksonville, NC"
573,SC,"Columbia East, SC"
574,KY,"Bowling Green, KY"
575,NC,"Goldsboro, NC"
576,TN,"Gallatin, TN"
577,KY,"Elizabethtown, KY"
579,NC,"Gastonia, NC"
580,TN,"Chattanooga, TN"
581,NC,"Kernersville, NC"
582,PA,"Chambersburg, PA"
583,NC,"Raleigh, NC"
