Store,Date,Year,product_category,product_type,period,amount
16,2018-01-01T00:00:00Z,2018,2-162,XYYF,Q1,22483.89
16,2018-01-01T00:00:00Z,2018,2-162,XYYF,Q2,23174.16
16,2018-01-01T00:00:00Z,2018,2-162,XYYF,Q3,22786.26
16,2018-01-01T00:00:00Z,2018,2-162,XYYF,Q4,21750.01
15,2018-01-02T00:00:00Z,2018,47-1547,XXRP,Q1,0
15,2018-01-02T00:00:00Z,2018,47-1547,XXRP,Q2,0
15,2018-01-02T00:00:00Z,2018,47-1547,XXRP,Q3,0
15,2018-01-02T00:00:00Z,2018,47-1547,XXRP,Q4,-40
16,2018-01-02T00:00:00Z,2018,12-1612,XYYF,Q1,3606.5
16,2018-01-02T00:00:00Z,2018,12-1612,XYYF,Q2,2928.69
16,2018-01-02T00:00:00Z,2018,12-1612,XYYF,Q3,2405.85
16,2018-01-02T00:00:00Z,2018,12-1612,XYYF,Q4,2658.31
32,2018-01-03T00:00:00Z,2018,13-3213,XYYF,Q1,30832.58
32,2018-01-03T00:00:00Z,2018,13-3213,XYYF,Q2,27734.41
32,2018-01-03T00:00:00Z,2018,13-3213,XYYF,Q3,29175.02
32,2018-01-03T00:00:00Z,2018,13-3213,XYYF,Q4,30461.17
38,2018-01-03T00:00:00Z,2018,18-3818,XYYF,Q1,278.5
38,2018-01-03T00:00:00Z,2018,18-3818,XYYF,Q2,1532.5
38,2018-01-03T00:00:00Z,2018,18-3818,XYYF,Q3,693.14
38,2018-01-03T00:00:00Z,2018,18-3818,XYYF,Q4,48.45
39,2018-01-03T00:00:00Z,2018,49-3949,XXRP,Q1,4113.3
39,2018-01-03T00:00:00Z,2018,49-3949,XXRP,Q2,5008.38
39,2018-01-03T00:00:00Z,2018,49-3949,XXRP,Q3,6159.34
39,2018-01-03T00:00:00Z,2018,49-3949,XXRP,Q4,6170.52
18,2018-01-04T00:00:00Z,2018,1-181,XYYF,Q1,22252.71
18,2018-01-04T00:00:00Z,2018,1-181,XYYF,Q2,38184.43
18,2018-01-04T00:00:00Z,2018,1-181,XYYF,Q3,26068.39
18,2018-01-04T00:00:00Z,2018,1-181,XYYF,Q4,16951.62
21,2018-01-04T00:00:00Z,2018,41-2141,XXRP,Q1,1108
21,2018-01-04T00:00:00Z,2018,41-2141,XXRP,Q2,2401
21,2018-01-04T00:00:00Z,2018,41-2141,XXRP,Q3,2187.66
21,2018-01-04T00:00:00Z,2018,41-2141,XXRP,Q4,1691
30,2018-01-05T00:00:00Z,2018,18-3018,XYYF,Q1,611.2
30,2018-01-05T00:00:00Z,2018,18-3018,XYYF,Q2,1775.3
30,2018-01-05T00:00:00Z,2018,18-3018,XYYF,Q3,693.16
30,2018-01-05T00:00:00Z,2018,18-3018,XYYF,Q4,27.68
19,2018-01-06T00:00:00Z,2018,48-1948,XXRP,Q1,0
19,2018-01-06T00:00:00Z,2018,48-1948,XXRP,Q2,0
